region_shortname;region_fullname;Тип региона
Алтайский;Алтайский край;Край
Амурская;Амурская область;Область
Архангельская;Архангельская область;Область
Астраханская;Астраханская область;Область
Белгородская;Белгородская область;Область
Брянская;Брянская область;Область
Владимирская;Владимирская область;Область
Волгоградская;Волгоградская область;Область
Вологодская;Вологодская область;Область
Воронежская;Воронежская область;Область
Москва;Город Москва столица Российской Федераци;Город
Санкт-Петербург;Город Санкт-Петербург город федерального;Город
Еврейская Автономная;Еврейская Автономная область;Область
Забайкальский;Забайкальский край;Край
Ивановская;Ивановская область;Область
Иркутская;Иркутская область;Область
Кабардино-Балкарская Республика;Кабардино-Балкарская Республика;Не указан
Калининградская;Калининградская область;Область
Калужская;Калужская область;Область
Карачаево-Черкесская Республика;Карачаево-Черкесская Республика;Не указан
Кемеровская;Кемеровская область;Область
Кировская;Кировская область;Область
Костромская;Костромская область;Область
Краснодарский;Краснодарский край;Край
Красноярский;Красноярский край;Край
Крым;Крым;Не указан
Курганская;Курганская область;Область
Курская;Курская область;Область
Ленинградская;Ленинградская область;Область
Липецкая;Липецкая область;Область
Московская;Московская область;Область
Мурманская;Мурманская область;Область
Нижегородская;Нижегородская область;Область
Новгородская;Новгородская область;Область
Новосибирская;Новосибирская область;Область
Омская;Омская область;Область
Оренбургская;Оренбургская область;Область
Орловская;Орловская область;Область
Пензенская;Пензенская область;Область
Пермский;Пермский край;Край
Приморский;Приморский край;Край
Псковская;Псковская область;Область
Адыгея (Адыгея);Республика Адыгея (Адыгея);Республика
Башкортостан;Республика Башкортостан;Республика
Бурятия;Республика Бурятия;Республика
Дагестан;Республика Дагестан;Республика
Ингушетия;Республика Ингушетия;Республика
Калмыкия;Республика Калмыкия;Республика
Карелия;Республика Карелия;Республика
Коми;Республика Коми;Республика
Марий Эл;Республика Марий Эл;Республика
Мордовия;Республика Мордовия;Республика
Саха (Якутия);Республика Саха (Якутия);Республика
Северная Осетия-Алания;Республика Северная Осетия-Алания;Республика
Татарстан (Татарстан);Республика Татарстан (Татарстан);Республика
Хакасия;Республика Хакасия;Республика
Ростовская;Ростовская область;Область
Рязанская;Рязанская область;Область
Самарская;Самарская область;Область
Саратовская;Саратовская область;Область
Сахалинская;Сахалинская область;Область
Свердловская;Свердловская область;Область
Смоленская;Смоленская область;Область
Ставропольский;Ставропольский край;Край
Субъект РФ не определен;Субъект РФ не определен;Не указан
Тамбовская;Тамбовская область;Область
Тверская;Тверская область;Область
Томская;Томская область;Область
Тульская;Тульская область;Область
Тюменская;Тюменская область;Область
Удмуртская Республика;Удмуртская Республика;Не указан
Ульяновская;Ульяновская область;Область
Хабаровский;Хабаровский край;Край
Ханты-Мансийский автономный округ (Тюмен;Ханты-Мансийский автономный округ (Тюмен;Автономный округ
Челябинская;Челябинская область;Область
Чеченская Республика;Чеченская Республика;Не указан
Чувашская Республика-Чаваш Республики;Чувашская Республика-Чаваш Республики;Не указан
Ямало-Ненецкий автономный округ (Тюменск;Ямало-Ненецкий автономный округ (Тюменск;Автономный округ
Ярославская;Ярославская область;Область
